Sentence
"	<b><font color=""purple"">Scott</font></b> Joseph <b><font color=""purple"">Kelly</font></b> (born February 21, 1964) is an American <b><font color=""purple"">astronaut</font></b> and a retired U.S. Navy Captain.	"
	null	
"	<b><font color=""purple"">Kelly</font></b> was commander of the International Space Station (ISS) Expedition 26.	"
"	<b><font color=""purple"">Kelly</font></b>'s identical twin brother, Mark <b><font color=""purple"">Kelly</font></b>, is also <b><font color=""purple"">an astronaut</font></b>.	"
"	The <b><font color=""purple"">Kelly</font></b> brothers are the only siblings to have both traveled in space.	"
"	Kelly's first spaceflight was as pilot of Space ShuttleDiscovery during <b><font color=""purple"">STS-103</font></b> in December 1999.	"
"	This was the third servicing mission to the Hubble Space Telescope, and lasted for just under 8 days.	"
"	His second spaceflight was as mission commander of <b><font color=""purple"">STS-118</font></b>, a 12-day Space Shuttle mission to the International Space Station in August 2007.	"
"	<b><font color=""purple"">Kelly</font></b> became a long-duration crewmember of ISS on October 9, 2010, after arriving on a <b><font color=""purple"">Russian</font></b> <b><font color=""purple"">Soyuz spacecraft</font></b>.	"
"	<b><font color=""purple"">He</font></b> arrived at the station during <b><font color=""purple"">Expedition 25</font></b>, serving as a flight engineer.	"
	null	
"	<b><font color=""purple"">He</font></b> currently serves as the International Space Station operations branch chief.	"
	null	
"	<b><font color=""purple"">He</font></b> was designated a Naval Aviator in July 1989 at Naval Air Station Chase Field in Beeville, Texas.	"
"	<b><font color=""purple"">He</font></b> reported to Fighter Squadron 101 (VF-101) at <b><font color=""purple"">Naval Air Station Oceana</font></b>, <b><font color=""purple"">Virginia</font></b>, for initial F-14 Tomcat training.	"
	null	
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> has logged more than 8,000 flight-hours in more than 40 different aircraft and spacecraft.	"
"	<b><font color=""purple"">Kelly</font></b> has more than 250 carrier landings.	"
	null	
"	Selected by <b><font color=""purple"">NASA</font></b> in April 1996, <b><font color=""purple"">Kelly</font></b> reported to <b><font color=""purple"">the Johnson Space Center</font></b> in August 1996.	"
"	On completion of training, he was assigned to technical duties in the Astronaut Office Spacecraft Systems/Operations Branch.	"
"	<b><font color=""purple"">Kelly</font></b> was assigned to <b><font color=""purple"">flight</font></b> status on <b><font color=""purple"">NASA</font></b>'s Space <b><font color=""purple"">Shuttle</font></b> program, officially designated Space Transportation System, or STS.	"
"	After Kelly's first flight on <b><font color=""purple"">STS-103</font></b> he served as <b><font color=""purple"">NASA</font></b>s Director of Operations in Star City, Russia.	"
"	<b><font color=""purple"">Kelly</font></b> was a back-up crew member for ISS Expedition 5.	"
"	<b><font color=""purple"">He</font></b> also served as the Astronaut Office Space Station Branch Chief.	"
"	In September 2002, <b><font color=""purple"">Kelly</font></b> served as the commander of the <b><font color=""purple"">NEEMO</font></b> 4 mission aboard <b><font color=""purple"">the Aquarius underwater laboratory</font></b>, four miles off shore from Key Largo.	"
"	<b><font color=""purple"">Kelly</font></b> and his crewmates spent five days saturation diving from Aquarius as a space analogue for working and training under extreme environmental conditions.	"
"	The mission was delayed due to Hurricane Isadore, forcing National Undersea Research Center (NURC) managers to shorten it to an underwater duration of five days.	"
	null	
"	Fortunately, Lili degenerated to the point where it was no longer a threat, so the crew was able to remain the full five days.	"
"	In April 2005, <b><font color=""purple"">Kelly</font></b> was a crew member on the NEEMO 8 mission.	"
	null	
	Enhancing HST scientific capabilities required three space walks.	
"	Traveling 3.2 million miles in space, the <b><font color=""purple"">STS-103</font></b> mission was accomplished in 120 <b><font color=""purple"">Earth orbits</font></b>, spanning 191 hours and 11 minutes.	"
	null	
"	During the mission, Endeavour's crew successfully added a truss segment, a new gyroscope and external spare parts platform to the International Space Station.	"
	A new system that enables docked shuttles to draw electrical power from the station to extend visits to the outpost was activated successfully.	
	null	
	null	
	Four spacewalks (EVAs) were performed by three crew members.	
	null	
"	Traveling 5.3 million miles in space, the <b><font color=""purple"">STS-118</font></b> mission was completed in 12 days, 17 hours, 55 minutes and 34 seconds.	"
	null	
"	Aboard the Soyuz rocket with <b><font color=""purple"">Kelly</font></b> were Soyuz Commander <b><font color=""purple"">Aleksandr Kaleri</font></b> of Russia and Russian <b><font color=""purple"">Flight Engineer</font></b> Oleg Skripochka.	"
"	<b><font color=""purple"">TMA-01M</font></b> is the first of a new generation of the Soyuz spacecraft.	"
"	<b><font color=""purple"">Kelly</font></b> discussed the upgrades in a pre-flight interview: ""The improvements are rather significant.	"
	null	
"	Its less operator-intensive, but the main and most important change is they have a new, what we would refer to as a flight control computer.	"
	So the computer that operates the systems on board is new and the software is new.	
	null	
"	Kelly, Aleksandr Kaleri and Oleg Skripochka arrived at the International Space Station on October 9, 2010.	"
"	<b><font color=""purple"">Kelly</font></b> served as flight engineer during his time on <b><font color=""purple"">Expedition 25</font></b>.	"
"	October 9 marked the beginning of the second part of <b><font color=""purple"">Expedition 25</font></b> bringing the number of people aboard the ISS to six.	"
"	The rest of the crew included Commander Douglas H. Wheelock, along with flight engineers Shannon Walker and Fyodor Yurchikhin.	"
	null	
"	On January 8, 2011, with over two months remaining in the mission, Kelly's sister-in-law <b><font color=""purple"">Congresswoman Gabrielle Giffords</font></b> was shot in <b><font color=""purple"">Tucson</font></b>.	"
"	<b><font color=""purple"">Kelly</font></b> returned to Earth, landing in Kazakhstan on March 16, 2011.	"
"	<b><font color=""purple"">He</font></b> traveled directly to Houston to see his brother and Giffords.	"
	null	
	null	
	During Kellys time aboard the International Space Station (including Expeditions 25 and 26) there were a number of visiting space vehicles.	
	These include: Problems with the launch of Discovery pushed shuttle mission STS-134 beyond the time of Kelly's stay aboard the ISS.	
	STS-134 was commanded by Kelly's brother Mark.	
	null	
	null	
	This mission will include collecting scientific data important to future human exploration of our solar system.	
"	<b><font color=""purple"">NASA</font></b> has selected <b><font color=""purple"">Scott</font></b> <b><font color=""purple"">Kelly</font></b> and Roscosmos has chosen Mikhail Korniyenko.	"
	null	
	null	
	null	
	null	
"	<b><font color=""purple"">Kelly</font></b> graduated from Mountain High School in 1982.	"
	null	
"	<b><font color=""purple"">Kelly</font></b> was born in Orange, New Jersey, to Richard and Patricia Kelly, and raised in the nearby community of West Orange.	"
"	<b><font color=""purple"">He</font></b> went to Mountain High School along with his brother Mark.	"
"	<b><font color=""purple"">He</font></b> is divorced and has two children.	"
"	His sister-in-law is <b><font color=""purple"">Gabrielle Giffords</font></b>, the former congresswoman from <b><font color=""purple"">Arizona</font></b>.	"
"	<b><font color=""purple"">Kelly</font></b> is an Associate Fellow of the Society of Experimental Test Pilots and a member of the Association of Space Explorers.	"
"	<b><font color=""purple"">Kelly</font></b> received a Korolev Diploma from the Federation Aeronautique Internationale in 1999.	"
"	<b><font color=""purple"">He</font></b> received an honorary Doctorate of Science degree from the State University of New York in 2008.	"
