Sentence
"	<b><font color=""purple"">Maksim Viktorovich Surayev</font></b> (<b><font color=""purple"">Russian</font></b>: ?????? ?????????? ??????, born May 24, 1972) is a <b><font color=""purple"">Russian</font></b> cosmonaut.	"
"	<b><font color=""purple"">Surayev</font></b> was born in <b><font color=""purple"">Chelyabinsk</font></b>.	"
"	During his childhood, Suraev lived in several places due to his father's military commitments.	"
"	First he moved from his birthplace, <b><font color=""purple"">Chelyabinsk</font></b> in the Urals, to Siberia.	"
"	When his father entered the military academy, the Suraev family moved again to the environs of Moscow.	"
"	While his father served several postings, Suraev again moved from one town to another around Moscow.	"
"	<b><font color=""purple"">Surayev</font></b> is married to Suraeva (ne Khorokhordina) Anna Alexandrovna.	"
"	They have two daughters, Arina and Ksenia.	"
	His recreational interests include sports and reading.	
"	<b><font color=""purple"">He</font></b> is a qualified diver and paraborne instructor.	"
	null	
"	In 2007, he received a law degree from the Russian Academy of Civil Service.	"
"	<b><font color=""purple"">Maksim</font></b> <b><font color=""purple"">Surayev</font></b> is a recipient of the Gold Star Medal of Hero of Russia.	"
"	<b><font color=""purple"">He</font></b> received the medal from the <b><font color=""purple"">Russian president</font></b> <b><font color=""purple"">Dmitry Medvedev</font></b> on December 30, 2010.	"
"	<b><font color=""purple"">Surayev</font></b> is qualified to fly L-39 and Su-27 aircraft, and has logged around 700 hours of flight time.	"
"	<b><font color=""purple"">Surayev</font></b> is a Class 3 Air Force pilot, a qualified diver and paraborne instructor.	"
"	From December 1997 to November 1999, <b><font color=""purple"">Surayev</font></b> completed basic space training.	"
	In November 1999 he was qualified as a test-cosmonaut.	
	From January 2000 he was in ISS advanced training.	
"	From March 2006 until April 2008 <b><font color=""purple"">Surayev</font></b> was assigned as a backup ISS Expedition 17 crewmember.	"
	From April 2008 until March 2009 he was a member of the ISS Expedition 19 backup crew.	
"	<b><font color=""purple"">Surayev</font></b> served as a Flight Engineer on <b><font color=""purple"">the International Space Station</font></b> as a member of the <b><font color=""purple"">Expedition 22</font></b> crew.	"
	null	
"	<b><font color=""purple"">He</font></b> was the commander of the Soyuz spacecraft.	"
	null	
"	<b><font color=""purple"">Surayev</font></b> kept a blog while in space.	"
"	On January 14, 2010, <b><font color=""purple"">Surayev</font></b> went outside of the ISS into space with fellow <b><font color=""purple"">Russian</font></b> cosmonaut <b><font color=""purple"">Oleg Kotov</font></b> to begin his first spacewalk.	"
"	The spacewalk started at 10:05 GMT when <b><font color=""purple"">Surayev</font></b> and Kotov donned in new Russian Orlan-MK computerised spacesuits floated out of the Pirs Docking compartment airlock.	"
"	The spacewalking duo connected cables between the Poisk and Zvezda modules, installed docking targets and Kurs aerials and attached additional handrails to exit hatches.	"
	null	
	The spacewalk lasted 5 hours and 44 minutes.	
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
