Sentence
"	<b><font color=""purple"">Norman Earl Thagard</font></b> (born July 3, 1943) is an American scientist and former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> is <b><font color=""purple"">the first <b><font color=""purple"">American</font></b></font></b> to ride to space on board a Russian vehicle, and can be considered <b><font color=""purple"">the first <b><font color=""purple"">American</font></b></font></b> cosmonaut.	"
"	<b><font color=""purple"">He</font></b> did this on March 14, 1995 in the <b><font color=""purple"">Soyuz TM-21</font></b> spacecraft for the Russian Mir-18 mission.	"
"	<b><font color=""purple"">Thagard</font></b> was born in Marianna, <b><font color=""purple"">Florida</font></b>, but considers Jacksonville, <b><font color=""purple"">Florida</font></b>, to be his hometown.	"
"	<b><font color=""purple"">He</font></b> is married to Rex Kirby Johnson, formerly of South Ponte Vedra Beach, <b><font color=""purple"">Florida</font></b>.	"
	They have three sons.	
"	During his free time, he enjoys classical music, and electronic design.	"
"	<b><font color=""purple"">Thagard</font></b> has published articles on digital and analog electronic design.	"
"	His father, Mr. James E. Thagard, and his mother, Mrs. Mary F. Key, are both deceased.	"
"	<b><font color=""purple"">Thagard</font></b> held a number of research and teaching posts while completing the academic requirements for various earned degrees.	"
	In September 1966 he entered active duty with the United States Marine Corps Reserve.	
	null	
"	<b><font color=""purple"">He</font></b> flew 163 combat missions in Vietnam while assigned to VMFA-115 from January 1969 to 1970.	"
"	<b><font color=""purple"">He</font></b> returned to <b><font color=""purple"">the United States</font></b> and an assignment as aviation weapons division officer with <b><font color=""purple"">VMFA-251</font></b> at <b><font color=""purple"">the Marine Corps Air Station</font></b>, <b><font color=""purple"">Beaufort</font></b>, <b><font color=""purple"">South Carolina</font></b>.	"
	null	
"	<b><font color=""purple"">He</font></b> is a licensed physician.	"
"	<b><font color=""purple"">He</font></b> is a pilot and has logged over 2,200 hours flying time of which the majority was in jet aircraft.	"
"	<b><font color=""purple"">Thagard</font></b> was selected as an <b><font color=""purple"">astronaut</font></b> candidate by <b><font color=""purple"">NASA</font></b> in January 1978.	"
"	In August 1979, he completed a one-year training and evaluation period, making him eligible for assignment as a mission specialist on future Space Shuttle flights.	"
"	A veteran of five space flights, he logged over 140 days in space.	"
	null	
"	<b><font color=""purple"">Thagard</font></b> first flew on the crew of <b><font color=""purple"">STS-7</font></b>, which launched from <b><font color=""purple"">Kennedy Space Center</font></b>, <b><font color=""purple"">Florida</font></b>, on June 18, 1983.	"
"	This was the second flight for the Orbiter Challenger and the first mission with a crew of <b><font color=""purple"">five persons</font></b>.	"
	null	
"	During the flight Dr. <b><font color=""purple"">Thagard</font></b> conducted various medical tests and collected data on physiological changes associated with <b><font color=""purple"">astronaut</font></b> adaptation to space.	"
"	<b><font color=""purple"">He</font></b> also retrieved the rotating SPAS-01 using the RMS.	"
"	Mission duration was 147 hours before landing at Edwards Air Force Base, California, on June 24, 1983.	"
"	<b><font color=""purple"">Thagard</font></b> then flew on <b><font color=""purple"">STS-51-B</font></b>, the <b><font color=""purple"">Spacelab-3</font></b> science mission, which launched from <b><font color=""purple"">Kennedy Space Center</font></b>, <b><font color=""purple"">Florida</font></b>, on April 29, 1985, aboard the Challenger.	"
"	<b><font color=""purple"">He</font></b> assisted the commander and pilot on ascent and entry.	"
	Mission duration was 168 hours.	
	null	
	null	
"	After 110 orbits of the Earth, Challenger landed at Edwards Air Force Base, California, on May 6, 1985.	"
"	<b><font color=""purple"">He</font></b> next served on the crew of <b><font color=""purple"">STS-30</font></b>, which launched from <b><font color=""purple"">Kennedy Space Center</font></b>, <b><font color=""purple"">Florida</font></b>, on May 4, 1989, aboard the Orbiter Atlantis.	"
	null	
	Magellan arrived at Venus in mid-1990 and mapped the entire surface of Venus using specialized radar instruments.	
"	In addition, crew members also worked on secondary payloads involving fluid research in general, chemistry and electrical storm studies.	"
	Mission duration was 97 hours.	
"	Following 64 orbits of the Earth, the <b><font color=""purple"">STS-30</font></b> mission concluded with a landing at Edwards Air Force Base, California, on May 8, 1989.	"
"	<b><font color=""purple"">Thagard</font></b> served as payload commander on <b><font color=""purple"">STS-42</font></b>, aboard the Shuttle Discovery, which lifted off from <b><font color=""purple"">the Kennedy Space Center</font></b>, <b><font color=""purple"">Florida</font></b>, on January 22, 1992.	"
	null	
	null	
"	In this unique laboratory in space, crew members worked around-the-clock in two shifts.	"
	Experiments investigated the microgravity effects on the growth of protein and semiconductor crystals.	
"	Biological experiments on the effects of zero gravity on plants, tissues, bacteria, insects and human vestibular response were also conducted.	"
"	This eight-day mission culminated in a landing at Edwards Air Force Base, California, on January 30, 1992.	"
"	On his last mission, <b><font color=""purple"">Thagard</font></b> was a crew member for the Russian Mir 18 mission.	"
	Twenty eight experiments were conducted in the course of the 115 day flight.	
"	Liftoff was from the Baikonur Cosmodrome in Kazakstan on March 14, 1995.	"
"	The mission culminated in a landing at <b><font color=""purple"">the Kennedy Space Center</font></b> in <b><font color=""purple"">the Space</font></b> Shuttle Atlantis on July 7, 1995.	"
