Sentence
"	<b><font color=""purple"">Alexander Alexanderovich Misurkin</font></b> (<b><font color=""purple"">Russian</font></b>: A???????? A???????????? ????????) born on September 23, 1977, major of <b><font color=""purple"">Russian</font></b> Air Force, is a <b><font color=""purple"">Russian</font></b> cosmonaut, selected in 2006.	"
"	<b><font color=""purple"">He</font></b> flew aboard <b><font color=""purple"">Soyuz TMA-08M</font></b> on 28 March 2013 as his first space mission.	"
"	<b><font color=""purple"">Misurkin</font></b> is married to Olga Anatolievna Misurkina.	"
	The couple have two children.	
"	His parents, Lyudmila Georgievna and <b><font color=""purple"">Alexander</font></b> Mikhailovich Misurkin, reside in Oryol, Russia.	"
"	In 1994, <b><font color=""purple"">Misurkin</font></b> graduated from vocational school #1 in Oryol.	"
"	<b><font color=""purple"">He</font></b> then entered the Kacha High Air Force Pilot School, where he studied to September 1998.	"
"	<b><font color=""purple"">He</font></b> continued pilot training at the Armavir Military Aviation Institute, and graduated in October 1999 with a gold medal as a pilot-engineer.	"
"	In October 2006 <b><font color=""purple"">Misurkin</font></b> was approved as a cosmonaut candidate and enlisted to the Gagarin Cosmonaut Training Center Cosmonaut (GCTC) Corps.	"
"	<b><font color=""purple"">He</font></b> took the basic training at GCTC from February 2007 to June 2009, which he completed on 2 June 2009.	"
"	<b><font color=""purple"">Misurkin</font></b> was qualified as a test-cosmonaut 9 June 2009.	"
	From August 2009 to February 2011 he took the advanced training specializing in the International Space Station (ISS) program.	
	From January 2011 he trained as the Expedition 33/34 and Soyuz TMA-M backup crew flight engineer.	
"	<b><font color=""purple"">Misurkin</font></b> flew on <b><font color=""purple"">Soyuz TMA-08M</font></b> which launched at 20:43:20 on 28 March 2013.	"
"	This was the first manned flight to use the fast rendezvous approach to <b><font color=""purple"">the International Space Station</font></b>, reaching <b><font color=""purple"">the space station</font></b> in less than 6 hours.	"
	Previous flights had required two days to dock with the station.	
"	<b><font color=""purple"">Misurkin</font></b> joined the crew of ISS <b><font color=""purple"">Expedition 35</font></b>.	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
