Sentence
"	<b><font color=""purple"">John Elmer Blaha</font></b> (born August 26, 1942, in <b><font color=""purple"">San Antonio</font></b>, <b><font color=""purple"">Texas</font></b>) is a retired <b><font color=""purple"">United States Air Force</font></b> <b><font color=""purple"">colonel</font></b> and a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> is a veteran of six Space Shuttle missions and a stay on the Mir space station.	"
"	Married to the former Brenda I. Walters of <b><font color=""purple"">St. Louis</font></b>, <b><font color=""purple"">Missouri</font></b>, they have three grown children and two grandchildren.	"
	null	
"	<b><font color=""purple"">Blaha</font></b> received his pilot wings at Williams Air Force Base, Arizona, in 1967.	"
"	<b><font color=""purple"">He</font></b> was subsequently assigned as an operational pilot flying F-4, <b><font color=""purple"">F-102</font></b>, <b><font color=""purple"">F-106</font></b>, and A-37 <b><font color=""purple"">aircraft</font></b> (completing 361 combat missions in Vietnam).	"
"	<b><font color=""purple"">He</font></b> attended <b><font color=""purple"">the USAF Aerospace Research Pilot School</font></b> at <b><font color=""purple"">Edwards Air Force Base</font></b>, California, in 1971, and piloted the NF-104 research aircraft to 104,400 feet.	"
	null	
	null	
	null	
"	In 1976, he attended the U.S. Air Force Air Command and Staff College.	"
"	After graduation, he was assigned to work for the Assistant Chief of Staff, Studies and Analyses, at <b><font color=""purple"">Headquarters</font></b> <b><font color=""purple"">USAF</font></b> in <b><font color=""purple"">the Pentagon</font></b>.	"
"	During this tour, he presented F-15 Eagle and F-16 Fighting Falcon study results to Department of Defense, State Department, and Congressional staffs.	"
"	Selected as <b><font color=""purple"">an astronaut</font></b> in May 1980, <b><font color=""purple"">Blaha</font></b> has logged 161 days in space on five space missions.	"
	null	
	null	
"	<b><font color=""purple"">Blaha</font></b> also led the design, development, and integration of the Orbiter Head Up Display system.	"
"	Additionally, he led the development of contingency abort procedures which significantly improve crew survivability in the event of multiple main engine failures during ascent.	"
"	<b><font color=""purple"">He</font></b> has logged more than 7,000 hours of flying time in 34 different aircraft, and has written numerous technical articles on spacecraft performance and control.	"
	null	
"	<b><font color=""purple"">STS-29</font></b> Discovery launched from <b><font color=""purple"">Kennedy Space Center</font></b>, Florida, on March 13, 1989, and landed at Edwards Air Force Base on March 18, 1989.	"
"	During this very successful mission the five-man crew aboard Shuttle Discovery deployed the East Tracking and Data Relay Satellite, and performed eight scientific/medical experiments.	"
"	<b><font color=""purple"">STS-33</font></b> Discovery (November 2227, 1989).	"
"	Launched at night, this five-day mission carried Department of Defense payloads and other secondary payloads.	"
"	After 79 orbits of the Earth, this highly successful mission concluded with a hard surface landing on Runway 4 at Edwards Air Force Base, California.	"
"	<b><font color=""purple"">STS-43</font></b> Atlantis (August 211, 1991) launched from <b><font color=""purple"">the Kennedy Space Center</font></b> carrying a five <b><font color=""purple"">person</font></b> crew.	"
	null	
"	After 142 orbits of the Earth, this very significant mission concluded with a landing on Runway 15 at the Kennedy Space Center, Florida.	"
"	<b><font color=""purple"">STS-58</font></b> Columbia (October 18 to November 1, 1993) launched from <b><font color=""purple"">the Kennedy Space Center</font></b> carrying a seven-person crew.	"
	null	
	null	
"	In addition, the crew performed 16 engineering tests aboard the Orbiter Columbia and 20 Extended Duration Orbiter Medical Project experiments.	"
	Landing was at Edwards Air Force Base on Runway 22.	
	null	
"	<b><font color=""purple"">He</font></b> launched on <b><font color=""purple"">STS-79</font></b> on September 16, 1996.	"
	After docking he transferred to the Mir Space Station.	
	null	
"	<b><font color=""purple"">Blaha</font></b> returned to Earth aboard <b><font color=""purple"">STS-81</font></b> on January 22, 1997.	"
	null	
"	In response to his predicament, Texas in 1997 amended its election statutes to permit voting from outer space.	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
