Sentence
"	<b><font color=""purple"">Daniel Wheeler Bursch</font></b> (born July 25, 1957) is a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>, and <b><font color=""purple"">Captain</font></b> of <b><font color=""purple"">the United States Navy</font></b>.	"
"	<b><font color=""purple"">He</font></b> had four spaceflights, the first three of which were Space Shuttle missions lasting 10 to 11 days each.	"
	null	
	null	
	null	
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> attended the U.S. Naval Test Pilot School in January 1984.	"
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> has flown over 3,430 flight hours in more than 35 different aircraft.	"
"	Selected by <b><font color=""purple"">NASA</font></b> in January 1990, <b><font color=""purple"">Bursch</font></b> became <b><font color=""purple"">an astronaut</font></b> in July 1991.	"
	null	
"	A veteran of four space flights, <b><font color=""purple"">Bursch</font></b> has logged over 227 days in space.	"
"	<b><font color=""purple"">He</font></b> was a mission specialist on <b><font color=""purple"">STS-51</font></b> (1993), <b><font color=""purple"">STS-68</font></b> (1994) and <b><font color=""purple"">STS-77</font></b> (1996), and served as flight engineer on <b><font color=""purple"">International Space Station</font></b> <b><font color=""purple"">Expedition 4</font></b> (20012002).	"
"	<b><font color=""purple"">Dan Bursch</font></b> and fellow <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">Carl Walz</font></b> completed one of the longest <b><font color=""purple"">U.S.</font></b> <b><font color=""purple"">space</font></b> flights of 196 days in <b><font color=""purple"">space</font></b>.	"
"	In January 2003, <b><font color=""purple"">Bursch</font></b> reported to the Naval Postgraduate School for a two-year assignment as an instructor in the Space Systems Academic Group.	"
"	<b><font color=""purple"">He</font></b> left <b><font color=""purple"">NASA</font></b> in May 2005, and later retired from active duty in July 2005 after 26 years of service in <b><font color=""purple"">the U.S. Navy</font></b>.	"
"	<b><font color=""purple"">Bursch</font></b> joined The Aerospace Corporation in July 2005 and is currently serving as <b><font color=""purple"">the National</font></b> Reconnaissance Office (NRO) <b><font color=""purple"">Chair</font></b> at <b><font color=""purple"">the Naval Postgraduate School</font></b>.	"
"	<b><font color=""purple"">STS-51</font></b> launched from <b><font color=""purple"">the Kennedy Space Center</font></b>, Florida, on September 12, 1993.	"
	null	
	null	
"	The mission concluded on September 22, 1993, with the first night landing at the Kennedy Space Center.	"
	Mission duration was 236 hours and 11 minutes.	
"	<b><font color=""purple"">STS-68</font></b>, Space Radar Lab-2 (SRL-2), launched from <b><font color=""purple"">the Kennedy Space Center</font></b>, Florida, on September 30, 1994.	"
	null	
	null	
"	Real-time crew observations of environmental conditions, along with over 14,000 photographs aided the science team in interpreting the SRL data.	"
	The SRL-2 mission was a highly successful test of technology intended for long-term environmental and geological monitoring of planet Earth.	
"	Following 183 orbits of the Earth, the eleven-day mission ended with Space Shuttle Endeavour landing at Edwards Air Force Base, California, on October 11, 1994.	"
	Mission duration was 269 hours and 46 minutes.	
"	<b><font color=""purple"">STS-77</font></b> launched from <b><font color=""purple"">the Kennedy Space Center</font></b> on May 19, 1996.	"
"	It included the fourth Spacehab module flight as a scientific laboratory, designated SPACEHAB-4.	"
"	It consisted of 12 separate materials processing, fluid physics and biotechnology experiments, with an emphasis on commercial space product development.	"
	null	
"	Following 160 orbits of the Earth, the ten-day mission ended with Space Shuttle Endeavour landing at the Kennedy Space Center on May 29, 1996.	"
	Mission duration was 240 hours and 39 minutes.	
"	The <b><font color=""purple"">Expedition 4</font></b> crew launched on December 5, 2001 aboard <b><font color=""purple"">STS-108</font></b> and docked with <b><font color=""purple"">the International Space Station</font></b> on December 7, 2001.	"
	null	
"	The crew spent 196 days in <b><font color=""purple"">space</font></b> establishing a <b><font color=""purple"">U.S.</font></b> <b><font color=""purple"">space</font></b> flight endurance record for <b><font color=""purple"">Dan Bursch</font></b> and crew mate <b><font color=""purple"">Carl Walz</font></b>.	"
"	Wearing the Russian Orlan spacesuit, <b><font color=""purple"">Bursch</font></b> logged 11 hours and 48 minutes of EVA time in two separate spacewalks.	"
"	The Expedition-Four crew returned to Earth aboard <b><font color=""purple"">STS-111</font></b>, with Endeavour landing at Edwards Air Force Base, California, on June 19, 2002.	"
"	Awarded the Defense Superior Service Medal, <b><font color=""purple"">NASA</font></b> Space Flight Medals, the Navy Commendation Medal and the Navy Achievement Medal.	"
"	Distinguished graduate, U.S. Naval Academy and U.S. Naval Test Pilot School.	"
"	<b><font color=""purple"">Bursch</font></b> was born in Bristol, Pennsylvania, but considers <b><font color=""purple"">Vestal</font></b>, <b><font color=""purple"">New York</font></b>, to be his hometown.	"
	Single.	
"	Four children, two boys and two girls.	"
	One grandchild.	
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
