Sentence
"	<b><font color=""purple"">Sergey Aleksandrovich Volkov</font></b> (Russian: ?????? ????????????? ??????, born April 1, 1973, in <b><font color=""purple"">Chuhuiv</font></b>, Ukrainian SSR, <b><font color=""purple"">Soviet Union</font></b>) is a Russian cosmonaut.	"
"	<b><font color=""purple"">He</font></b> was a member of two missions to the International Space Station, spending more than a year in total in space.	"
	During his missions he did three spacewalks lasting more than 18 hours in total.	
"	<b><font color=""purple"">Volkov</font></b> is the first second-generation <b><font color=""purple"">cosmonaut</font></b> (and <b><font color=""purple"">space</font></b> walker), the son of <b><font color=""purple"">cosmonaut</font></b> Aleksandr <b><font color=""purple"">Volkov</font></b>.	"
"	<b><font color=""purple"">He</font></b> was born on April 1, 1973 in <b><font color=""purple"">Chuguyev</font></b>, Kharkov Region, <b><font color=""purple"">Ukraine</font></b>.	"
"	<b><font color=""purple"">Volkov</font></b> and his wife Natalia have a son who was born in 2001.	"
"	His recreational activities include tennis, windsurfing, reading, and visiting museums.	"
"	<b><font color=""purple"">Volkov</font></b> graduated from Star City high school in 1990 and entered the Tambov Air Force Academy for Pilots.	"
"	<b><font color=""purple"">He</font></b> graduated in 1995 with a degree of pilot/engineer.	"
"	<b><font color=""purple"">Volkov</font></b> was awarded the Hero of the Russian Federation medal and Russian Federation Armed Forces medals.	"
"	After graduating from Tambov Air Force Academy, <b><font color=""purple"">Volkov</font></b> served in the air force as an assistant aircraft commander.	"
"	<b><font color=""purple"">He</font></b> has mastered the <b><font color=""purple"">Aero</font></b> L-29 and L-39, the Ilyushin Il-22, and <b><font color=""purple"">the Tupolev Tu-134</font></b>, and has also accumulated 450 flight hours.	"
"	<b><font color=""purple"">He</font></b> is a Class 3 military pilot.	"
"	From December 1997 to November 1999, <b><font color=""purple"">Volkov</font></b> underwent general cosmonaut training, and in November 1999, was qualified as a test cosmonaut.	"
"	Since January 2000, he has been part of a group of test cosmonauts training for missions to the International Space Station (ISS).	"
"	From August 2001 to February 2003, <b><font color=""purple"">Volkov</font></b> trained as part of the Expedition 7 backup crew as a Soyuz-TMA Commander and ISS Flight Engineer.	"
"	From March 2003 to December 2004, he trained as part of the Expedition 11 primary crew for launch on the Space Shuttle.	"
"	From January 2005 to February 2006, he trained as part of a group of test cosmonauts for missions to the ISS.	"
	null	
"	In June 2006, he was appointed a member of the <b><font color=""purple"">Expedition 17</font></b> prime crew as Soyuz TMA Commander and ISS Commander.	"
	null	
"	<b><font color=""purple"">Volkov</font></b> served as the commander of the ISS <b><font color=""purple"">expedition 17</font></b>.	"
"	<b><font color=""purple"">He</font></b> is the youngest ISS commander to date.	"
	His mission lasted from April to October 2008.	
"	Volkov, Kononeko and <b><font color=""purple"">space</font></b> <b><font color=""purple"">tourist</font></b> <b><font color=""purple"">Richard</font></b> <b><font color=""purple"">Garriott</font></b>, the son of <b><font color=""purple"">astronaut</font></b> Owen K. <b><font color=""purple"">Garriott</font></b> returned to Earth aboard <b><font color=""purple"">Soyuz TMA-12</font></b> on October 24, 2008.	"
	Garriott is the first second-generation American space explorer.	
"	The spacecraft landed at 03:36 GMT 55 miles north of Arkalyk, Kazakhstan.	"
	Later they were lifted to the Kazakhstan Baikonur Cosmodrome by helicopter and then flown to Zvezdny Gorodok (Star City) in Moscow.	
"	On June 7, 2011 (UTC), <b><font color=""purple"">Volkov</font></b> returned to space aboard <b><font color=""purple"">Soyuz TMA-02M</font></b> to join the crew of <b><font color=""purple"">Expedition 28</font></b>.	"
"	<b><font color=""purple"">Volkov</font></b> conducted his first spacewalk on July 10, 2008 when he ventured into space from the Pirs docking compartment airlock of the ISS.	"
"	<b><font color=""purple"">He</font></b> and cosmonaut <b><font color=""purple"">Kononenko</font></b> inspected their <b><font color=""purple"">Soyuz TMA-12</font></b> spacecraft and retrieved a pyro bolt from it.	"
"	The spacewalk lasted 6 hours and 18 minutes and <b><font color=""purple"">Volkov</font></b> served as the lead spacewalker.	"
"	On July 15, 2008 <b><font color=""purple"">Volkov</font></b> together with Kononenko again went outside from Pirs to conduct a spacewalk.	"
	The two spacewalking cosmonauts installed one experiment and retrieved another.	
"	They also continued to outfit the station's exterior, including the installation of a docking target on the Zvezda service module.	"
"	The spacewalk was in <b><font color=""purple"">Russian</font></b> Orlan suits and <b><font color=""purple"">Volkov</font></b>, as the lead spacewalker wore the suit with red stripes.	"
	This spacewalk lasted 5 hours and 54 minutes.	
"	On August 3, 2011 <b><font color=""purple"">Volkov</font></b> participated in his third spacewalk.	"
	null	
"	Outside the Zvezda service module, <b><font color=""purple"">Volkov</font></b> and Samokutyayev installed laser communications equipment.	"
"	They also, photographed an antenna with signs of degraded performance.	"
	null	
	The satellite contained an amateur radio transmitter and a student experiment.	
	null	
	null	
	They also successfully installed the materials science experiment - BIORISK on a handrail outside the Pirs module.	
	BIORISK experiment studies the effect of microbes on spacecraft structures and whether solar activity affects microbial growth.	
	null	
	In February Russian Government excluded Yuri Gagarin Cosmonaut Training Center from the list of organizations served by military officers.	
	null	
"	<b><font color=""purple"">Sergey</font></b> <b><font color=""purple"">Volkov</font></b> successfully sued Yuri Gagarin Cosmonaut Training Center, winning back 1382 thousand Russian roubles (approximately $40,000) in lost pay.	"
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
