Sentence
"	<b><font color=""purple"">Yelena</font></b> Olegovna <b><font color=""purple"">Serova</font></b> (<b><font color=""purple"">Russian</font></b>: ????? ???????? ?????? ) was born April 22, 1976.	"
"	<b><font color=""purple"">She</font></b> is a Russian cosmonaut, selected in 2006.	"
"	<b><font color=""purple"">She</font></b> is the wife of cosmonaut Mark Serov, selected in RKKE-13 in 2003, but retired for medical reasons before flying any missions.	"
	They have a daughter.	
"	In March 2001, <b><font color=""purple"">Serova</font></b> graduated from the Aerospace Faculty of the Moscow Aviation Institute (MAI) qualified as an engineer.	"
"	In 2003 she graduated from the Moscow <b><font color=""purple"">State</font></b> <b><font color=""purple"">Academy</font></b> of Instrument Engineering and Information qualified as an economist.	"
"	Prior to enrollment as a cosmonaut, <b><font color=""purple"">Serova</font></b> has worked as an engineer of the 2nd category RSC Energia, and in the Mission Control Center.	"
"	<b><font color=""purple"">Serova</font></b> was selected as a test cosmonaut at the age of 30 in the RKKE-14 group in October 2006 while working as a flight engineer.	"
"	<b><font color=""purple"">Serova</font></b> has been selected for Expedition 41/42, set to travel by Soyuz to the International Space Station in September 2014.	"
"	<b><font color=""purple"">She</font></b> will only be the fourth Russian female cosmonaut to travel to space.	"
"	Previously <b><font color=""purple"">Valentina Tereshkova</font></b>, Svetlana Savitskaya and <b><font color=""purple"">Yelena</font></b> Kondakova have flown into <b><font color=""purple"">space</font></b>.	"
