Sentence
"	<b><font color=""purple"">Takao Doi</font></b> (?? ??, <b><font color=""purple"">Doi Takao</font></b>, born September 18, 1954) is a <b><font color=""purple"">Japanese</font></b> <b><font color=""purple"">astronaut</font></b> and a veteran of two <b><font color=""purple"">NASA</font></b> space shuttle missions.	"
	null	
	null	
"	<b><font color=""purple"">Doi</font></b> flew as a mission specialist aboard <b><font color=""purple"">STS-87</font></b> in 1997, during which he became the first Japanese <b><font color=""purple"">astronaut</font></b> to conduct a spacewalk.	"
"	<b><font color=""purple"">He</font></b> received a Ph.D in Astronomy from Rice University in 2004.	"
"	<b><font color=""purple"">Takao Doi</font></b> visited the International Space Station in March 2008 as a member of the <b><font color=""purple"">STS-123</font></b> crew.	"
"	<b><font color=""purple"">STS-123</font></b> delivered the first module of the <b><font color=""purple"">Japanese</font></b> laboratory, Kib?, and the <b><font color=""purple"">Canadian</font></b> Dextre robot to the space station.	"
"	During this mission, he became <b><font color=""purple"">the first person</font></b> to throw a boomerang in space that was specifically designed for use in microgravity during spaceflight.	"
	null	
"	As an avid amateur astronomer, he found supernovae SN 2002gw and SN 2007aa.	"
