Sentence
"	Ph?m Tun (born February 14, 1947) is a retired Vietnam Air Force aviator.	"
	null	
"	<b><font color=""purple"">He</font></b> was awarded the title Hero of the Soviet Union.	"
"	<b><font color=""purple"">Pham</font></b> <b><font color=""purple"">Tuan</font></b> was born in Qu?c Tu?n, Thai Binh province in northern Vietnam.	"
"	<b><font color=""purple"">He</font></b> joined the VPAF, or Vietnam People's Air Force (North Vietnamese Air Force) in 1965, was later commissioned as a combat officer.	"
"	<b><font color=""purple"">He</font></b> flew interceptor missions in a <b><font color=""purple"">MiG-21</font></b> <b><font color=""purple"">jet fighter</font></b> against United States <b><font color=""purple"">aircraft</font></b> during the Vietnam War.	"
	null	
"	<b><font color=""purple"">He</font></b> reported his missiles struck the B-52, and claimed his attack caused it to go down in flames.	"
"	This claim, which would be the only B-52 downed in aerial combat, is disputed by the US government.	"
"	The U.S. states that the B-52 was downed by a surface to air missile, as were all other B-52s shot down during the campaign.	"
	No additional evidence has been presented to verify the claims.	
	null	
	null	
"	<b><font color=""purple"">Tuan</font></b> received numerous high distinctions for his service, including the Ho Chi Minh Order.	"
	null	
"	<b><font color=""purple"">Tuan</font></b> reached the rank of lieutenant colonel in the VPAF before eventually training to be a research cosmonaut in the joint USSR-Vietnamese Space program.	"
"	On April 1, 1979, he was selected as a member of the sixth international crew for the Intercosmos program.	"
	His backup was Bi Thanh Lim.	
	null	
"	During his time in orbit, <b><font color=""purple"">Tuan</font></b> performed experiments on the melting of mineral samples in microgravity.	"
"	<b><font color=""purple"">He</font></b> also carried out plant experiments on azolla and photographed Vietnam from orbit for mapping purposes.	"
"	<b><font color=""purple"">Tuan</font></b> was in space for 7 days, 20 hours, and 42 minutes.	"
"	<b><font color=""purple"">He</font></b> completed 142 orbits, and was returned to earth on July 31, 1980.	"
"	<b><font color=""purple"">Tuan</font></b> is married and has two children.	"
	null	
