Sentence
"	<b><font color=""purple"">Eric</font></b> Allen <b><font color=""purple"">Boe</font></b> (born October 1, 1964) is a United States Air Force <b><font color=""purple"">fighter pilot</font></b> Colonel, test pilot and a <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> flew as the pilot of Space Shuttle missions <b><font color=""purple"">STS-126</font></b> and <b><font color=""purple"">STS-133</font></b>.	"
"	<b><font color=""purple"">Boe</font></b> was born in Miami, Florida, and grew up in Atlanta, Georgia.	"
"	<b><font color=""purple"">He</font></b> graduated from Henderson High School, Chamblee, Georgia in 1983.	"
"	<b><font color=""purple"">He</font></b> was a cadet in the Georgia Wing of the Civil Air Patrol.	"
"	While a cadet, <b><font color=""purple"">Boe</font></b> earned the General Carl A Spaatz Award, the highest award given to Civil Air Patrol cadets.	"
"	Colonel <b><font color=""purple"">Boe</font></b> is still a Senior Member in the Texas Wing of the Civil Air Patrol, along with his son who recently became a Cadet.	"
	null	
"	<b><font color=""purple"">He</font></b> is married to the former Kristen Newman of <b><font color=""purple"">Thousand Oaks</font></b>, <b><font color=""purple"">California</font></b>, and they have two children.	"
"	<b><font color=""purple"">Boe</font></b> was commissioned from the Air Force Academy in 1987.	"
"	<b><font color=""purple"">He</font></b> completed Euro-NATO Joint Jet Pilot Training (<b><font color=""purple"">ENJJPT</font></b>) at <b><font color=""purple"">Sheppard Air Force Base</font></b>, Texas in 1988.	"
	null	
	null	
	null	
"	<b><font color=""purple"">He</font></b> flew 55 combat missions over <b><font color=""purple"">Iraq</font></b> in support of Operation Southern Watch after <b><font color=""purple"">the first Gulf War</font></b>.	"
"	In 1997, he attended <b><font color=""purple"">the USAF Test Pilot School</font></b> at <b><font color=""purple"">Edwards AFB</font></b>, California.	"
	null	
"	<b><font color=""purple"">He</font></b> has logged over 4,000 flight hours in more than 45 different aircraft.	"
"	Selected as an <b><font color=""purple"">astronaut</font></b> candidate by <b><font color=""purple"">NASA</font></b> in July 2000, <b><font color=""purple"">Boe</font></b> reported to <b><font color=""purple"">the Johnson Space Center</font></b> in August 2000.	"
	null	
	His current technical assignment involves work with displays and controls for future space vehicles.	
"	<b><font color=""purple"">He</font></b> made his first trip to space as pilot of Space ShuttleEndeavour during <b><font color=""purple"">STS-126</font></b> on November 14, 2008.	"
	null	
"	In August 2012, <b><font color=""purple"">Boe</font></b> was named Deputy Chief of the Astronaut Office.	"
	null	
"	In addition to his current U.S. <b><font color=""purple"">Air Force</font></b> aeronautical rating of <b><font color=""purple"">Command</font></b> Pilot/Astronaut, his personal military decorations and service awards include:	"
