Sentence
"	<b><font color=""purple"">Anatoli</font></b> Alekseyevich <b><font color=""purple"">Ivanishin</font></b> (<b><font color=""purple"">Russian</font></b>: ???????? ?????????? ????????; born <b><font color=""purple"">Irkutsk</font></b>, <b><font color=""purple"">Russia</font></b> 15 January 1969) is a <b><font color=""purple"">Russian</font></b> cosmonaut.	"
"	His first visit to the space was on board the <b><font color=""purple"">Soyuz TMA-22</font></b> spacecraft launched on 14 November 2011.	"
"	<b><font color=""purple"">Ivanishin</font></b> is married to Svetlana Ivanishina.	"
"	They have one son, Vladislav, born in 1993.	"
"	His father is Alexey <b><font color=""purple"">Ivanishin</font></b> and his mother is Nina Ivanishina.	"
"	In 1986 <b><font color=""purple"">Ivanishin</font></b> finished secondary school education from <b><font color=""purple"">Irkutsk</font></b>.	"
	In 1986 he unsuccessfully attempted to enter the Chernigov Higher Military Aviation School for Pilots.	
"	<b><font color=""purple"">He</font></b> entered the <b><font color=""purple"">Irkutsk</font></b> Polytechnic Institute, and in <b><font color=""purple"">1987</font></b> completed <b><font color=""purple"">his first year</font></b>.	"
"	In his second attempt <b><font color=""purple"">Ivanishin</font></b> entered the Chernigov Higher Military Aviation School in 1987, and in 1991 graduated with a gold medal.	"
"	In 2003 <b><font color=""purple"">Ivanishin</font></b> graduated from the Moscow State University in Economics, Statistics and Information Theory.	"
"	Since 1991, <b><font color=""purple"">Ivanishin</font></b> has served in combatant units of the Russian Air Force.	"
"	After graduating from the Chernigov Higher Military Aviation School, he served in the <b><font color=""purple"">Borisoglebsk</font></b> military unit, <b><font color=""purple"">Voronezh region</font></b>, where <b><font color=""purple"">Ivanishin</font></b> flew MiG-29 jet fighter planes.	"
"	Since 1992, he served as a senior fighter pilot in the 159th Fighter Aviation Regiment based in Petrozavodsk, Karelia, part of the 6th Air Army.	"
	During the service he flew Su-27 jet fighter aircraft.	
"	<b><font color=""purple"">He</font></b> has logged 507 hours of flying time and has successfully made 180 parachute jumps.	"
"	On 29 May 2003 <b><font color=""purple"">Ivanishin</font></b> was enlisted as a cosmonaut candidate to go through space training.	"
"	On 16 June 2003, he began training and passed the state examinations with a rating of ""excellent"" on 28 June 2005.	"
"	On 5 July 2005 <b><font color=""purple"">Ivanishin</font></b> was awarded the test cosmonaut qualification.	"
"	<b><font color=""purple"">Ivanishin</font></b> served as the <b><font color=""purple"">Soyuz TMA-20</font></b> backup commander, a mission launched to the International Space Station on 15 December 2010.	"
"	<b><font color=""purple"">Ivanishin</font></b> traveled to the International Space Station to serve as a flight for ISS long duration Expedition 29/30 missions.	"
