Sentence
"	<b><font color=""purple"">Patrick Graham Forrester</font></b> (born March 31, 1957) is a retired United States Army officer and a <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	At the time of his retirement from the U.S. Army, <b><font color=""purple"">Forrester</font></b> had achieved the rank of Colonel.	"
"	<b><font color=""purple"">He</font></b> is married and has two children.	"
"	<b><font color=""purple"">Forrester</font></b> has flown on three Space Shuttle missions, STS-105, STS-117 and STS-128.	"
"	Born March 31, 1957, in El Paso, Texas.	"
"	<b><font color=""purple"">He</font></b> is <b><font color=""purple"">an Eagle Scout</font></b> in the Boy Scouts of <b><font color=""purple"">America</font></b>.	"
"	Married to the former Diana Lynn Morris of Springfield, Virginia.	"
"	They have two sons, <b><font color=""purple"">Patrick</font></b> Forrester, Jr. and Andrew.	"
"	His father, Colonel (ret.)	"
"	Redmond V. Forrester, is deceased; his mother, Patsy L. Forrester, resides in <b><font color=""purple"">Fort Walton Beach</font></b>, <b><font color=""purple"">Florida</font></b>.	"
"	<b><font color=""purple"">Forrester</font></b> graduated from West Point in June 1979 and was commissioned as a Second Lieutenant in the U.S. Army.	"
"	<b><font color=""purple"">He</font></b> entered the U.S. Army Aviation School in 1979 and was designated an Army Aviator in September 1980.	"
	null	
	null	
	null	
"	In June 1992, he graduated from the U.S. Naval Test Pilot School and was designated an experimental test pilot.	"
"	In 1992, he was assigned as an <b><font color=""purple"">engineering</font></b> test pilot at the <b><font color=""purple"">U.S.</font></b> Army Aviation Technical Test Center, Fort Rucker, <b><font color=""purple"">Alabama</font></b>.	"
"	Other military schools include the Army Parachutist Course, U.S. Army Ranger School, the Combined Arms Services Staff School, and the Command and General Staff College.	"
"	A Master Army Aviator, <b><font color=""purple"">Forrester</font></b> has logged over 4,400 hours in over 50 different aircraft.	"
"	<b><font color=""purple"">Forrester</font></b> retired from the Army in October 2005.	"
"	<b><font color=""purple"">Forrester</font></b> was assigned to <b><font color=""purple"">NASA</font></b> at <b><font color=""purple"">the Johnson Space Center</font></b> as an aerospace engineer in July 1993.	"
	null	
"	<b><font color=""purple"">He</font></b> has also served as the crew representative for robotics development for the International Space Station.	"
"	<b><font color=""purple"">Forrester</font></b> was selected as an <b><font color=""purple"">astronaut</font></b> candidate by <b><font color=""purple"">NASA</font></b> in May 1996.	"
"	Having completed two years of training and evaluation, he is qualified for flight assignment as a mission specialist.	"
	null	
"	<b><font color=""purple"">He</font></b> next served as the technical assistant to the Director, Flight Crew Operations.	"
"	Following that, <b><font color=""purple"">Forrester</font></b> served as the Shuttle training and on-board crew procedures representative.	"
"	<b><font color=""purple"">Forrester</font></b> flew on <b><font color=""purple"">STS-105</font></b> in 2001, with the crew of <b><font color=""purple"">STS-117</font></b> in 2007, and as a mission specialist on the <b><font color=""purple"">STS-128</font></b> mission in 2009.	"
"	<b><font color=""purple"">He</font></b> has logged over 950 hours in space, including four spacewalks totaling 25 hours and 22 minutes of EVA time.	"
"	Currently, <b><font color=""purple"">Forrester</font></b> serves as Chief of Safety for the Astronaut Office.	"
"	<b><font color=""purple"">STS-105</font></b> Discovery (August 1022, 2001) was the 11th mission to the International Space Station (ISS).	"
	null	
"	During the mission, <b><font color=""purple"">Forrester</font></b> and Dan Barry performed two spacewalks totaling 11 hours and 45 minutes of EVA time.	"
"	<b><font color=""purple"">Forrester</font></b> served as the prime robotics operator to install the MPLM.	"
"	<b><font color=""purple"">STS-105</font></b> also brought home the <b><font color=""purple"">Expedition 2</font></b> crew.	"
"	The <b><font color=""purple"">STS-105</font></b> mission was accomplished in 186 orbits of the Earth, traveling over 4.9 million miles in 285 hours and 13 minutes.	"
	null	
	The successful construction and repair mission involved four spacewalks by two teams.	
"	<b><font color=""purple"">Forrester</font></b> accumulated 13 hours and 37 minutes of EVA time in two spacewalks.	"
"	The mission also delivered crewmember <b><font color=""purple"">Clayton Anderson</font></b>, and returned with <b><font color=""purple"">Sunita Williams</font></b> from the <b><font color=""purple"">Expedition 15</font></b> crew.	"
"	<b><font color=""purple"">STS-117</font></b> returned to land at Edwards Air Force Base, California, having traveled 5.8 million miles in 14 days.	"
"	<b><font color=""purple"">STS-128</font></b> Discovery (August 28-September 11, 2009) was the 128th Shuttle mission and the 30th mission to the ISS.	"
	null	
"	The <b><font color=""purple"">STS-128</font></b> crew conducted three spacewalks.	"
"	<b><font color=""purple"">Forrester</font></b> served as the prime robotics operator for Discovery.	"
	null	
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
