_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,result1,result2,result1_gold,result2_gold,sentence
940085234,4/25/2016 18:21:55,1968589371,4/25/2016 18:20:16,FALSE,clixsense,1,31519358,ITA,15,Rometta,2.38.147.33,He became one of Soyuz TM-6 crew members,no relation,,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085234,4/25/2016 18:24:17,1968590519,4/25/2016 18:18:54,FALSE,clixsense,1,32765058,IND,25,Chennai,163.47.13.172,He became a Soyuz TM-6 crew member and spent nine days aboard the Mir space station as an Intercosmos Research Cosmonaut.,"The extra-word ""a"" has been added.",,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085234,4/25/2016 18:25:50,1968591358,4/25/2016 18:23:20,FALSE,instagc,1,31860859,TUR,68,Ankara,88.232.136.110,He became one of Soyuz TM-6 crew members and spent nine days aboard the Mir space station in 1988.,where he worked in a crew,,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085234,4/25/2016 18:26:05,1968591439,4/25/2016 18:21:13,FALSE,clixsense,1,21151345,IND,2,Hyderabad,183.83.216.27,He became one of Soyuz TM-6 crew members and spent nine days abroad the Mir space station in1988.,one of,,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085234,4/25/2016 18:26:58,1968591814,4/25/2016 18:22:18,FALSE,neodev,1,31330295,EGY,,,45.244.206.134,He became one of Soyuz TM-6 crew members and spent 9 days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.,name of te crew,,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085234,4/25/2016 18:27:46,1968592067,4/25/2016 18:23:07,FALSE,clixsense,1,32333751,IND,7,Delhi,110.235.26.203,He became Soyuz TM-6 member and spent 9 years as an Intercosmos Research Cosmonaut.,Member.,,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085234,4/25/2016 18:30:14,1968592892,4/25/2016 18:25:10,FALSE,neodev,1,33999110,BGR,42,Sofia,84.1.47.86,He became one of Soyuz TM-6 crew members,Soyuz TM-6,,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085234,4/25/2016 18:33:55,1968594350,4/25/2016 18:26:41,FALSE,clixsense,1,32966420,BIH,2,Doboj,31.223.135.198,he became one of Soyuz TM-6 crew members on the Mir space station,he soyuz tm-6,,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085234,4/25/2016 19:07:47,1968613915,4/25/2016 19:01:18,FALSE,clixsense,1,30844171,MYS,14,Kuala Lumpur,183.171.28.64,he is soyuz tm-6 crew to mir space station.,people involved,,,"	<b><font color=""purple"">He</font></b> became one of <b><font color=""purple"">Soyuz TM-6</font></b> crew members and spent nine days aboard the Mir space station in 1988 as an Intercosmos Research Cosmonaut.	"
940085235,4/25/2016 18:31:16,1968593285,4/25/2016 18:29:32,FALSE,clixsense,1,32765058,IND,25,Chennai,163.47.13.172,Pashto is considered the fourth spoken language in space.,Some words have been removed.,,,"	<b><font color=""purple"">Pashto</font></b> is considered the fourth spoken language in space after he made a telephone call to <b><font color=""purple"">Afghanistan</font></b>.	"
