Sentence
"	<b><font color=""purple"">Robert</font></b> Louis ""Bob"" <b><font color=""purple"">Behnken</font></b> (born July 28, 1970 in <b><font color=""purple"">Creve Coeur</font></b>, <b><font color=""purple"">Missouri</font></b>) is a <b><font color=""purple"">United States Air Force</font></b> officer and a <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">astronaut</font></b>.	"
"	<b><font color=""purple"">Behnken</font></b> holds a Ph.D in Mechanical Engineering and has reached <b><font color=""purple"">the rank</font></b> of <b><font color=""purple"">Colonel</font></b> in <b><font color=""purple"">the U.S. Air Force</font></b>.	"
"	Bob <b><font color=""purple"">Behnken</font></b> has logged over 1,000 flight hours in 25 different aircraft.	"
"	<b><font color=""purple"">He</font></b> flew on Space Shuttle mission <b><font color=""purple"">STS-123</font></b> as a Mission Specialist.	"
"	Bob <b><font color=""purple"">Behnken</font></b> has accumulated over 378 hours in space, including 19 hours of spacewalk time.	"
"	Bob <b><font color=""purple"">Behnken</font></b> was assigned as Mission Specialist 1 for the STS-400 rescue mission.	"
"	<b><font color=""purple"">He</font></b> also flew on the <b><font color=""purple"">STS-130</font></b> space shuttle mission.	"
"	<b><font color=""purple"">He</font></b> is married to fellow <b><font color=""purple"">astronaut</font></b> K. Megan McArthur.	"
	null	
"	In 1993, he received a Master of <b><font color=""purple"">Science</font></b> degree in <b><font color=""purple"">Mechanical Engineering</font></b>, and a doctorate degree in 1997 from California Institute of Technology.	"
	Behnken's graduate thesis research was in the area of nonlinear control applied to stabilizing rotating stall and surge in axial-flow compressors.	
"	The research included nonlinear analysis, real-time software implementation development, and extensive hardware construction.	"
"	During his first two years of graduate study, <b><font color=""purple"">Behnken</font></b> developed and implemented real-time control algorithms and hardware for flexible robotic manipulators.	"
	null	
"	While at Eglin, he worked as a technical manager and developmental engineer for new munitions systems.	"
"	<b><font color=""purple"">Behnken</font></b> was next assigned to attend the <b><font color=""purple"">U.S.</font></b> Air Force <b><font color=""purple"">Test Pilot School</font></b> Flight Test Engineer's course at <b><font color=""purple"">Edwards AFB</font></b>, <b><font color=""purple"">California</font></b>.	"
"	After graduating, he was assigned to the F-22 Combined Test Force (CTF) and remained at Edwards.	"
"	While assigned to the F-22 program, <b><font color=""purple"">Behnken</font></b> was the lead flight test engineer for Raptor 4004 and a special projects test director.	"
"	These responsibilities included flight test sortie planning, control room configuration development, and test conduct.	"
"	<b><font color=""purple"">Behnken</font></b> also flew in both the F-15 and F-16 aircraft in support of the F-22 flight test program.	"
"	<b><font color=""purple"">Behnken</font></b> has over 780 flight hours in more than 25 different aircraft types.	"
"	Selected as an <b><font color=""purple"">astronaut</font></b> candidate by <b><font color=""purple"">NASA</font></b> in July 2000, <b><font color=""purple"">Behnken</font></b> reported for training in August 2000.	"
	null	
"	In September 2006, <b><font color=""purple"">Behnken</font></b> served as an aquanaut during the <b><font color=""purple"">NEEMO</font></b> 11 mission aboard <b><font color=""purple"">the Aquarius underwater laboratory</font></b>, living and working underwater for seven days.	"
	null	
"	<b><font color=""purple"">Behnken</font></b> took part in three spacewalks during the mission.	"
"	<b><font color=""purple"">Behnken</font></b> also flew as a Mission Specialist on <b><font color=""purple"">STS-130</font></b>, which launched at 04:14 EST (09:14 UTC) 8 February 2010.	"
	This mission delivered the Tranquility module and Cupola to the International Space Station.	
"	<b><font color=""purple"">Behnken</font></b> again took part in three spacewalks during this mission.	"
"	In July 2012, <b><font color=""purple"">Behnken</font></b> was named <b><font color=""purple"">Chief of the Astronaut Office</font></b>, succeeding <b><font color=""purple"">Peggy Whitson</font></b> at the job.	"
"	<b><font color=""purple"">Behnken</font></b> is married to fellow <b><font color=""purple"">astronaut</font></b> K. Megan McArthur.	"
	This article incorporates text in the public domain from the National Aeronautics and Space Administration.	
