Sentence
"	<b><font color=""purple"">Kenneth</font></b> ""Hock"" Todd <b><font color=""purple"">Ham</font></b> (born December 12, 1964 in Plainfield, New Jersey) is a retired American astronaut and a Captain in <b><font color=""purple"">the United States Navy</font></b>.	"
"	<b><font color=""purple"">Ham</font></b> was selected for <b><font color=""purple"">NASA</font></b>'s <b><font color=""purple"">astronaut</font></b> <b><font color=""purple"">program</font></b> in August 1998, while serving as the F/A-18E/F Super Hornet lead carrier suitability <b><font color=""purple"">test pilot</font></b>.	"
"	Ham's aviator call sign is ""Hock"".	"
"	As of July 2013, Captain <b><font color=""purple"">Ham</font></b> is serving as the Chair of the Aerospace Engineering Department at <b><font color=""purple"">the United States Naval Academy</font></b>, in Annapolis, Maryland.	"
	null	
	Ham's parents are Ed and Marion Ham.	
"	Ham's recreational interests include baseball, running, weight lifting, general aviation, snow skiing and water skiing, skydiving and scuba diving.	"
	null	
"	<b><font color=""purple"">He</font></b> then went on to the United States Naval Academy from which he graduated in 1987 with a bachelors degree in aerospace engineering.	"
"	In 1996, he earned a master of science degree in aeronautical engineering from the Naval Postgraduate School.	"
	null	
"	After earning his commission as an Ensign in <b><font color=""purple"">the U.S. Navy</font></b> in May 1987, <b><font color=""purple"">Ham</font></b> received flight training in <b><font color=""purple"">the T-34C</font></b>, <b><font color=""purple"">T-2C</font></b>, and <b><font color=""purple"">TA-4J</font></b> <b><font color=""purple"">aircraft</font></b>.	"
"	<b><font color=""purple"">Ham</font></b> was designated a Naval Aviator in October 1989, and subsequently received F/A-18 Hornet training.	"
	His operational assignments included stints with VFA-132 and VFA-105 fighter squadrons.	
	null	
	null	
"	<b><font color=""purple"">He</font></b> was selected as one of five <b><font color=""purple"">Navy</font></b> pilots on the F/A-18E/F <b><font color=""purple"">Super Hornet</font></b> Integrated Test Team, responsible for developing a new fleet aircraft.	"
	null	
	null	
"	<b><font color=""purple"">He</font></b> has over 6,000 flight hours in more than 40 aircraft types, with over 300 shipboard and 300 land based arrested landings.	"
"	Ken <b><font color=""purple"">Ham</font></b> has served as CAPCOM for Space Shuttle ascent/entry and orbit, as well as the International Space Station (ISS).	"
"	His most recent CAPCOM assignment was for <b><font color=""purple"">NASA</font></b>'s ""return to flight"" <b><font color=""purple"">mission</font></b>, <b><font color=""purple"">STS-114</font></b>, of the Space Shuttle.	"
"	<b><font color=""purple"">He</font></b> made his first spaceflight as pilot of <b><font color=""purple"">STS-124</font></b>, in which Discovery flew to the International Space Station in June 2008.	"
"	<b><font color=""purple"">He</font></b> also flew as the commander of mission <b><font color=""purple"">STS-132</font></b>, which launched on May 14, 2010 and landed on May 26, 2010.	"
