Sentence
"	<b><font color=""purple"">Roman</font></b> Yurievich <b><font color=""purple"">Romanenko</font></b> (Major, <b><font color=""purple"">Russian</font></b> Air Force; <b><font color=""purple"">Russian</font></b>: ????? ??????? ?????????; born August 9, 1971) is a cosmonaut at the Yuri Gagarin Cosmonaut Training Center.	"
"	<b><font color=""purple"">Romanenko</font></b> was born in <b><font color=""purple"">Shchyolkovo</font></b>, near <b><font color=""purple"">Moscow</font></b>.	"
"	His parents, Yuri Victorovich <b><font color=""purple"">Romanenko</font></b> and Aleftina Ivanovna Romanenko, live in Star City.	"
"	<b><font color=""purple"">He</font></b> is married to Yulia Leonidovna <b><font color=""purple"">Romanenko</font></b> (Danilovskaya).	"
	They have one son.	
"	His hobbies include underwater hunting, tennis, car repairs, tourism, yachting, volleyball and music.	"
"	After graduation from Star City high school in 1986, <b><font color=""purple"">Romanenko</font></b> entered the Leningrad Suvorov military school, from which he graduated in 1988.	"
"	In 1988, he entered the Chernigov High Air Force School for pilots, from which he graduated in 1992 as a pilot-engineer.	"
"	Following graduation from pilot school <b><font color=""purple"">Romanenko</font></b> served as a second commander in the Air Force.	"
"	<b><font color=""purple"">He</font></b> flew L-39 and Tu-134 aircraft.	"
"	<b><font color=""purple"">Romanenko</font></b> has logged over 500 hours of flight time.	"
"	<b><font color=""purple"">He</font></b> is a Class 3 Air Force pilot.	"
"	On May 6, 2010, <b><font color=""purple"">Romanenko</font></b> was awarded the Hero of the <b><font color=""purple"">Russian Federation</font></b> medal by the decree of the <b><font color=""purple"">Russian President</font></b> <b><font color=""purple"">Dmitry Medvedev</font></b>.	"
"	<b><font color=""purple"">He</font></b> was also awarded the honorary title Pilot-Cosmonaut of the Russian Federation.	"
"	<b><font color=""purple"">Romanenko</font></b> was selected as a cosmonaut candidate at the Gagarin Cosmonaut Training Center Cosmonaut Office in December 1997.	"
	From January 1998 to November 1999 he undertook his basic training course.	
	In November 1999 he was qualified as a Test Cosmonaut.	
"	<b><font color=""purple"">He</font></b> served as the backup to <b><font color=""purple"">Oleg Kotov</font></b> as the Commander of <b><font color=""purple"">Soyuz TMA-10</font></b> and <b><font color=""purple"">Fyodor Yurchikhin</font></b> as Commander of <b><font color=""purple"">Expedition 15</font></b>.	"
	null	
"	<b><font color=""purple"">He</font></b> was part of <b><font color=""purple"">the Expedition 20</font></b> and Expedition 21 crews and was the third second-generation space traveller after Sergey Volkov and Richard Garriott.	"
"	<b><font color=""purple"">Romanenko</font></b> served as a Flight Engineer aboard the ISS during the two long duration missions.	"
	null	
	null	
	This article incorporatespublic domain material from websites or documents of the National Aeronautics and Space Administration.	
