Sentence
"	<b><font color=""purple"">Paul William Richards</font></b> (b. May 20, 1964 in Scranton, Pennsylvania) is an <b><font color=""purple"">American</font></b> engineer and a former <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">Astronaut</font></b>.	"
"	<b><font color=""purple"">He</font></b> flew aboard one Space Shuttle mission in 2001.	"
	null	
	null	
"	Department of the Navy, Naval Ship Systems Engineering Station, 1983-1987.	"
	Transferred to NASA Goddard Space Flight Center (GSFC) in 1987.	
"	Worked in the Verification Office, Electromechanical Branch, Robotics Branch, Guidance and Controls Branch, all within the Engineering Directorate.	"
	Senior EVA Tool Development Engineer for the Hubble Space Telescope (HST) Servicing Project.	
	Project Manager for HST EVA crew aids and tools.	
	Program Manager for HST EVA Hardware.	
"	Responsibilities included the budget, schedule, design, analysis, fabrication, test, and integration for breadboard, WETF/NBS, engineering, and flight hardware, documentation, and review process.	"
	Additional duties included systems engineering support for the HST WETF/NBS Servicing Mission Simulations as a utility diver and EMU suited subject.	
"	Selected by <b><font color=""purple"">NASA</font></b> in April 1996, <b><font color=""purple"">Richards</font></b> reported to <b><font color=""purple"">the Johnson Space Center</font></b> in August 1996.	"
"	Having completed two years of training and evaluation, he is qualified for flight assignment as a mission specialist.	"
"	<b><font color=""purple"">Richards</font></b> was initially assigned to the Computer Branch working on software for the Space Shuttle and the International Space Station.	"
	null	
"	<b><font color=""purple"">Richards</font></b> flew on <b><font color=""purple"">STS-102</font></b> and has logged over 307 hours in space, including 6.4 EVA hours.	"
"	<b><font color=""purple"">He</font></b> was assigned as a back-up crewmember for ISS Expedition-7.	"
"	<b><font color=""purple"">Richards</font></b> retired from <b><font color=""purple"">NASA</font></b> in February 2002 to pursue private interests.	"
"	In 2004 <b><font color=""purple"">Richards</font></b> returned to <b><font color=""purple"">NASA</font></b> <b><font color=""purple"">GSFC</font></b> as the Observatory Manager for <b><font color=""purple"">the Geostationary Operational Environmental Satellite</font></b> (<b><font color=""purple"">GOES-R</font></b> Series).	"
"	The <b><font color=""purple"">GOES-R</font></b> series is the next-generation of advanced weather satellites being developed by <b><font color=""purple"">the National Oceanic and Atmospheric Administration</font></b> (<b><font color=""purple"">NOAA</font></b>) in partnership with <b><font color=""purple"">NASA</font></b>.	"
"	<b><font color=""purple"">STS-102</font></b> Discovery (March 8-21, 2001) was the eighth Shuttle mission to visit the International Space Station.	"
	null	
"	<b><font color=""purple"">Richards</font></b> performed an EVA totaling 6 hours and 21 minutes.	"
	Mission duration was 307 hours and 49 minutes.	
